Badge Name,Category,Type,Description,Completion Rules,Requirements
International,Activity Badges,Activity,"At Scouts, we are proud of our international identity, so let's celebrate and learn more about our world.",Complete 4 of 6 requirements,"Complete 4 of the following:
1. Choose a country and explore their traditions and culture around food and dining. Recreate a dining experience relating to your chosen country for your leaders, parents or another section.
2. Organise an activity for your Unit or a younger section that explores another country's national celebration, festival or event (eg. Mela, Republic Day India, Chinese New Year)
3. Explore aspects of another country's culture such as their greetings, religion and approach to gender. You could play a cultural simulation game or discuss the similarities and differences with culture in the UK.
4. Take part in an international Scouting experience such as an international jamboree, setting up an international link, or a Jamboree on the Air (JOTA)-Jamboree on the Internet (JOTI) event.
5. Showcase a form of art or culture from another country. You could create a display of art you have researched or created yourself, or put on a cultural performance.
6. Participate in an event with an international theme. Discuss your experience with your Unit."
Leadership,Activity Badges,Leadership,Taking the lead can go a long way. Learn effective leadership skills that will help support you and your team.,1 from Leadership + 1 from  + 1 from  + 1 from Task,"Leadership (complete 1):
1. Lead a team of Explorers by running an activity on a camp
2. Lead a team of Explorers on an expedition
3. Represent the views of Explorers at a forum or event
4. Lead a team of explorers to deliver a project with them

 (complete 1):
1. Take an active role in running or delivering an activity in a new setting.

 (complete 1):
1. Reflect on the leadership behaviours and abilities you’ve displayed.

Task (complete 1):
1. In a setting of your choice, lead an activity or event and put your chosen actions into practice from your reflection in requirement 3.
2. Visit someone in a leadership role to see what behaviours they’re displaying. Compare their actions and how they lead to the results of your own reflection in requirement 3 to support your development as a leader.
3. Conduct your own research into a leader of your choice. Look at the leadership skills and behaviours they display at different times and why these might be appropriate."
Lifesaver,Activity Badges,Activity,Would you know what to do if someone's life was in danger? Get prepared today.,Complete ALL 3 requirements,"Complete ALL of the following:
1. Demonstrate and explain how you would perform a rescue
2. Reach the a recongised standard
3. Explain and, where possible, demonstrate methods of rescue"
Media Relations and Marketing,Activity Badges,Activity,"From TV and newspapers to online news, every organisation needs media coverage. Through Scouts, discover how to spread the word",1 from  + 1 from  + 1 from List A + 1 from List B," (complete 1):
1. Understand and show how to use the Scout brand, using resources available from UK HQ

 (complete 1):
1. Arrange a visit for a group of Explorers to find out about a media outlet and how they create their content.

List A (complete 1):
1. Get approval from your local Media Development Manager to secure media coverage for a Scouting event, expedition or activity. Prepare a press release and include a photograph.
2. Create some media content for the Group, District or County newsletter, Scouting Magazine or online.
3. Help to manage and maintain the social media pages for your local Scout Group for a period of time agreed by your Unit leader.
4. Take part in or produce a package about Scouting for local TV or radio.
5. Produce an audio, visual or written report about an issue affecting young people or your local Scout Group. Include different contributors such as members of the public, local personalities or public figures.

List B (complete 1):
1. Give a 15-minute presentation, with images, about Scouts to another organisation, such as a local Lions or Rotary Club.
2. Assist the District or County with a promotional event or activity.
3. As a team, produce at least four editions of a paper or e-newsletter for Explorers in your Unit or District or for members of another section.
4. Plan, develop and carry out a local recruitment campaign to get more adults and young people to join Scouting.
5. Create a display or exhibition for Scouts and parents to promote Explorer Scouting.
6. Conduct a survey to find out young people’s views on Scouting. Share your results with the leadership team and discuss them with others in the Unit.
7. Represent Explorers at a local government youth council or collective organisation youth forum."
Money Skills,Activity Badges,Activity,Learn how to be confident in decisions around money.,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Understand how money works and what affects the way we use it.
2. 2. Build your money skills by trying activities such as trading, budgeting and finding ways to grow your money.
3. 3. Take action and find out how to help people with money.
4. 4. Take on a challenge that’ll improve your money skills and help you plan for the future.
5. 5. Get creative and make something that helps others learn about money in a fun way."
Motor Sports,Activity Badges,Activity,"The thrill of the race, the speed, the control. Are you ready to get behind a wheel and take to a track?",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Take part in your chosen motor sport, once you’ve agreed the activity  with your leadership team. Show how you’ve improved over a period of  time.
2. 2. Talk to a group of young people about the skills and techniques you have used.
3. 3. Explain the safety rules, and how to responsibly use the skills you have learned, to an appropriate adult.
4. 4. Take part in at least two competitions or demonstrations.  Talk about your performance and ways to improve with the examiner or instructor.
5. 5. Take up an organisational role on at least two occasions."
Mountain Biking ,Activity Badges,Activity,"Up high with the wind in your hair, finding your route down the mountain is a challenge to remember",Choose 1 of 2 options,"Choose 1 of the following options:

Competition & Exhibition:
1. Regularly participate in a mountain biking discipline such as downhill, dirt jump, four cross (4X) or any other mountain bike sport as agreed by the leadership team. Show how you’ve improved over time and show evidence of this.
2. Talk to a group of young people about the skills and techniques of your chosen discipline.
3. Talk to an appropriate adult about the safety rules in mountain biking and how to use the skills you’ve learned responsibly.
4. Take part in at least two competitions or demonstrations. Talk about your performance and ways you could improve with the examiner or instructor.

Expedition:
1. Plan and carry out a two-day ride with at least four hours’ riding each day. At least 75 per cent of the ride must be off-road, with a minimum of 50 per cent on unsurfaced tracks.
2. Read a map well and orientate it using map features or a compass.
3. Explain what to do in case of an accident. Ensure you have a basic knowledge of first aid, including how to treat hypothermia.
4. Give reasonable estimates of times of transit, over distances in different terrains.
5. Show that you are able to control your bike over different types of terrain.
6. Show that you understand the Mountain Bike Code of Conduct.
7. Be able to perform emergency repairs in the field as listed for a T1 Mountain Bike Permit."
Naturalist,Activity Badges,Activity," The sound of birdsong, surrounded by trees, mud underfoot, it feels good to be in the wild.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Demonstrate your interest in the natural world by regularly taking part in relevant activities and using a variety of study and conservation  techniques over a period of time.
2. 2. Share skills in recording and observing the natural world with a group of young people.
3. 3. Take an in-depth look at how human activity is affecting the natural world, particularly pollution, deforestation and new farming techniques.
4. 4. Demonstrate a good knowledge of natural history terminology, particularly local animal and plant species along with other specialist words."
Performing Arts,Activity Badges,Activity,"The challenge of the performing arts: honesty, confidence, and expression, all words that define a Scout",Complete ALL 2 requirements,"Complete ALL of the following:
1. Demonstrate involvement and improvement in a creative activity of your choice.
2. Perform or exhibit the activity to an audience."
Physical Recreation,Activity Badges,Activity,"Scouts are forward thinkers, we continue to challenge ourselves, always looking to develop our skills.",Choose 1 of 5 options,"Choose 1 of the following options:

Equestrian:
1. Demonstrate skills in a horse riding activity to a group of young people and encourage them to try it out.
2. You’re not expected to have skills in instructing and your leader should organise supervision for all of you.
3. Take part in an equestrian activity over a period of time and show improvement.
4. Discuss the safety rules to an appropriate adult and explain how you’ve used the skills you learned responsibly.
5. Demonstrate how to care for your equipment and how to look after the animal.
6. Take part in at least two competitions or demonstrations. Discuss your performance and ways you can improve with the examiner or instructor.

Martial Arts:
1. Discuss the safety rules of your chosen activity. Show the examiner or instructor how you use the skills you’ve learned responsibly.
2. Take part in at least two competitions or demonstrations. Discuss your performance and how to improve with the examiner or instructor.
3. Demonstrate your skills to a group of young people and encourage them to try it out.
4. You’re not expected to have skills in instructing and your leader should organise appropriate supervision.
5. Take part in a martial arts activity recognised by UK Sport. You should take part regularly over a period of time and show improvement.

Master at Arms:
1. Take part in an activity such as fencing, shooting or archery. Take part in your chosen activity regularly over a period of time and work on your improvement.
2. Demonstrate your skills to a group of young people and encourage them to try it out.
3. You’re not expected to have skills in instructing and your leader should organise appropriate supervision.
4. Talk about any safety rules or laws involved in your chosen activity and how to abide by them.
5. Show how to care for and regularly maintain your equipment.
6. Take part in at least two competitions or demonstrations. After each one, discuss your performance with the examiner or instructor and identify ways to improve.

Angler:
1. Take part in angling (inland, beach or sea) regularly over a period of time and work on your improvement.
2. Demonstrate your skills to a group of young people and encourage them to try it out.
3. You’re not expected to have skills in instructing and your leader should organise appropriate supervision.
4. Talk about the safety rules in angling and how to fish in a responsible manner.
5. Take part in at least two competitions or demonstrations. Discuss your performance with the examiner or instructor and identify ways to improve.

Physical Recreation:
1. Take part in a physical activity regularly over a period of time and work on your improvement.
2. You can use this option if you want to improve and share knowledge about an activity that isn’t covered by options 1 to 4.
3. Demonstrate your skills to a group of young people and encourage them to try it out.
4. You’re not expected to have skills in instructing and your leader should organise appropriate supervision.
5. Talk about the safety rules or laws of your chosen activity and how to abide by them.
6. Take part in at least two competitions or demonstrations. Discuss your performance and how you can improve."
Pioneer,Activity Badges,Activity,"Knots, lashings, blocks and anchors. Learn how to make something essential from the bare necessities, and become a great pioneer.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Build a scale pioneering model.
2. 2. Take a lead role in building an outside pioneering project, such as an aerial runway or an hourglass tower.
3. 3. During your project, demonstrate your ability in: 10 knots, bends or hitches, four lashings, the use of simple blocks and tackle, anchorages for firm and soft ground, understanding the need for supervision in pioneering projects
4. 4. Demonstrate two whippings and two splices."
Racquet Sports,Activity Badges,Activity," If you practice, persevere and improve your technique, you’ll be hitting backhand volleys worthy of Centre Court",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Regularly participate in a racquet sport over a period of three months.  Demonstrate an improvement in your level of skill.
2. 2. Demonstrate your skills with your Unit and play your chosen sport with them.
3. 3. Talk about any safety procedures and rules in your chosen sport, and how to abide by them.
4. 4. Take part in at least two competitions or demonstrations."
Science and Technology ,Activity Badges,Activity,"From the weather around us to the electronics we use, learn more about the science we all rely on.",Choose 1 of 5 options,"Choose 1 of the following options:

Meteorology:
1. Regularly record weather observations and measurements over a period of time. You can break up the time if you like – you don’t have to keep continuous records.
2. Demonstrate your skills in meteorological recording and observation to a group of young people.
3. Give a detailed explanation of the formation of clouds and the weather associated with different clouds and fronts.
4. Find out detailed information about how weather maps are produced. Show how you interpret them for use in Scouting activities.

Mechanic:
1. Regularly maintain a mechanical machine over a period of time. You should use the time to learn a variety of techniques.
2. Demonstrate your mechanical knowledge. Explain the principles of operating an engine, gearbox and differential axle.
3. Talk about the safety rules for machine maintenance and how you use the skills you’ve learned responsibly.

Radio Communications:
1. Regularly take part in an activity involving in a method of radio communication. You should use the time to learn a variety of techniques and recording activity and develop your skills.
2. Demonstrate a radio communication method to a group of young people.
3. Talk about the rules or codes of practice for radio communication and how to use equipment responsibly.
4. Share your knowledge of radio communication alphabets and internationally recognised call signs and signals.

Electronics:
1. Regularly take part in an activity involving electronics. Use the time to learn a variety of techniques and equipment and improve your skills.
2. Show and explain your project work in electronics to a group of young people. You’re not expected to play the role of an instructor and an appropriate adult should supervise your group.
3. Demonstrate a detailed knowledge of circuits, components and the symbols used in electronics.
4. Discuss the safe working practices of electronics and how to use equipment responsibly.

Astronomy:
1. Learn the meaning of technical astronomical terms. Give a detailed description of our galaxy and solar system, including planets and other bodies.
2. Demonstrate your skills in astronomy, including recording and observation, to a group of young people.
3. Regularly take part in an astronomy activity. Use a variety of instruments, record your observations over a period of time and show improvement in your skills.
4. Demonstrate a good knowledge of the history of space exploration since 1969."
Space,Activity Badges,Activity,"If you've a passion for the wonders of the universe, are fascinated by the next steps of space exploration or just enjoy looking at the night sky, then the Explorers Space badge is the one for you.  ",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Explore first-hand accounts from people who have been involved in the space industry or witnessed its impact.
2. 2. Grow a plant without using soil.
3. 3. Find out about light pollution and how this can affect our exploration of space.
4. 4. Find out about satellites and space rovers, you could practice controlling something from a distance and learn why this is useful.
5. 5. Using a medium of your choice showcase something about space that interests you"
Street Sports,Activity Badges,Activity,"Whether you drop in, jump up, or skate down, share your passion. From the street to the Sixer.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Regularly take part in a street sport activity such as rollerskating, skateboarding, BMX, Parkour or any other street sport you agree with your leadership team.
2. 2. Demonstrate skills in your chosen sport to your Unit and undertake a street sport together.
3. 3. Explain the safety procedures and rules in your chosen sport, and how to abide by them, including where to undertake street sports safely and responsibly.
4. 4. Show how to care for your equipment and explain what you should look out for when it’s nearing the end of its life."
Survival Skills,Activity Badges,Activity,Be prepared for the unexpected! Develop your survival skills to be self-reliant in tough conditions and an awareness of natural resources and how to use them.,Complete ALL 12 requirements,"Complete ALL of the following:
1. 1. Learn how to prevent and treat the effects of extreme heat (sunstroke and dehydration) and cold (hypothermia).
2. 2. Demonstrate different techniques to light a fire.
3. 3. Show how to build several different types of fire.
4. 4. Demonstrate the correct use of international distress signals using a whistle, torch, mirror or markers.
5. 5. Describe some basic actions you can take while waiting to be rescued that will keep you and your group safe, and assist your rescuers in locating you.
6. 6. Learn the techniques involved in catching your food, such as fishing or snares.
7. 7. Learn to identify and source local, edible plants and fruit and the risks involved in eating those incorrectly identified.
8. 8. Prepare meat such as rabbit or fish to cook over an open fire and eat.
9. 9. Make an item of equipment that will be of use to you on a survival exercise.
10. 10. Demonstrate methods of filtering and purifying water.
11. 11. Demonstrate methods of finding direction by day or night without a compass.
12. 12. With a group of at least three other Explorers, take part in a survival exercise lasting two nights. The group should:"
Water Activities,Activity Badges,Activity,View the world from the ocean. Travel down a river. Explore the depths of a lake; and get soaked in the process.,Complete 1 of 4 requirements,"Complete 1 of the following:
1. Hold The Scout Association’s Adventurous Activity Personal Permit for Power Boating and meet the requirements for the Royal Yachting Association’s National Powerboat Certificate 2.
2. Hold The Scout Association’s Adventurous Activity Leadership Permit for Narrow Boating and meet the requirements for the Royal Yachting Association’s Inland Water Helmsman Certificate or the Certificate of Community Boat Management.
3. Hold The Scout Association’s Adventurous Activity Personal Permit for Kite Surfing and meet the requirements for the BKSA (British Kite Surfing Association) Level 2.
4. Hold The Scout Association’s Adventurous Activity Personal Permit for Windsurfing and meet the requirements for the RYA (Royal Yachting Association) Youth Windsurfing Scheme Stage Two."
Chief Scout's Diamond Award,Challenge Awards,Top Award,"The Chief Scout's Diamond Award is the highest of the Chief Scout's Awards, and the final step before the King's Scout Award.",ALL mandatory + groups,"MANDATORY (all required):
1. Be a member of Explorer Scouts or the Scout Network or both for at least 12 months.
2. Complete 16 nights away as an Explorer Scout or member of the Scout Network, of which eight must be camping.
3. Complete four activities from the International, Communities and Values list

:
1. Hold the Silver Duke of Edinburgh's Award.

:
1. Take up a skill for three or six months*, and show progress and lasting interest. The skill can be an existing interest or something entirely new.
2. Take up a physical activity for three or six months*, completing an agreed programme of taking part and achievement.
3. Provide service to an individual or the community for six months*.
4. Complete a three day and two night expedition in rural or open country by foot, cycle, horse, canoe, boat or dinghy."
Chief Scout's Platinum Award,Challenge Awards,Top Award,"The Chief Scout’s Platinum Award is a chance to celebrate your progress, and take stock of how far you've come.",ALL mandatory + groups,"MANDATORY (all required):
1. Be a member of Explorer Scouts for at least six months.
2. Complete eight nights away as an Explorer Scout of which four must be camping.
3. Complete two activities from the International, Community and Values list.

:
1. Hold the Bronze Duke of Edinburgh's Award

:
1. Take up a skill for three or six months, and show progress and lasting interest. The skill can be an existing interest or something entirely new
2. Take up a physical activity for three or six months*, completing an agreed programme of taking part and achievement
3. Provide service to an individual or the community for three or six months*.
4. Complete a two day and one night expedition in rural country by foot, cycle, horse, canoe, boat or dinghy."
Explorer Belt,Challenge Awards,Challenge Award,"The Explorer Belt is a challenge of a lifetime. It's a chance to take part in a ten-day expedition that brings you a real understanding of a different country, its culture and way of life.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Registration
2. Membership. Be an Explorer Scout aged 16 or over, a Scout Network member*, or a member of Girlguiding aged 16 to 25.
3. Expedition. Undertake a 10-day expedition as part of a team* outside the UK with a minimum travelling time of 50 hours over the 10 days, by foot, cycle, horse, canoe, boat or dinghy.
4. Debrief
5. Presentation
6. Assessment"
King's Scout Award,Challenge Awards,Challenge Award,The King’s Scout Award is the top achievement for Explorer Scouts and Scout Network members and comprises a variety of activities to complete,ALL mandatory + groups,"MANDATORY (all required):
1. Award participants must: Be aged 16 or older to start the award and complete the award before your 25th birthday, Be a member of either Explorer Scouts or Scout Network (or a combination of both) for at least 18 months to complete the award. Be a member of Explorer Scouts or Scout Network at the time you complete the award
2. Complete 24 nights away as an Explorer Scout or Scout Network member, of which at least 12 must be camping.
3. Complete six activities in total, two from each topic area of the ICV activities list.
4. Make a presentation covering all elements of your award to a suitable audience, with the aim of inspiring and motivating others to achieve the award.
5. Each  requirement  needs  to  be  signed  off  by  an  assessor.

:
1. Hold the Gold Duke of Edinburgh's Award.

:
1. Skill
2. Physical activity
3. Service
4. Expedition
5. Residential"
Young Leader Award - Mission Four,Challenge Awards,Leadership,Hone your leadership skills by volunteering with a younger section,Complete ALL 1 requirements,"Complete ALL of the following:
1. Take responsibility for organising and running part of the section programme"
Young Leader Award - Mission One,Challenge Awards,Leadership,Hone your leadership skills by volunteering with a younger section,Complete ALL 1 requirements,"Complete ALL of the following:
1. Plan and run a minimum of three games with the section you are volunteering with. At least one game should take place indoors and one outdoors."
Young Leader Award - Mission Three,Challenge Awards,Leadership,Hone your leadership skills by volunteering with a younger section,Complete ALL 1 requirements,"Complete ALL of the following:
1. Take the section’s programme ideas to a programme planning meeting."
Young Leader Award - Mission Two,Challenge Awards,Leadership,Hone your leadership skills by volunteering with a younger section,Complete ALL 1 requirements,"Complete ALL of the following:
1. Plan and run an activity (not a game) with the section you are volunteering with."
Young Leader Award - Modules,Challenge Awards,Leadership,Hone your leadership skills by volunteering with a younger section,Complete ALL 11 requirements,"Complete ALL of the following:
1. Module A - Prepare for take-off
2. Module B - Taking the lead
3. Module C- That’s the way to do it!
4. Module D - Understanding behaviour
5. Module E - Game on!
6. Module F - Making Scouting accessible and inclusive
7. Module G - What is a high quality programme?
8. Module H - Programme planning
9. Module I - What did they say?
10. Module J - Communicate it!
11. Module K- First aid masterclass"
Earth Tribe Award - Explorers,Core Badges,Earth Tribe,,Choose 1 of 3 options,"Choose 1 of the following options:

Champions for Nature:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Go Solar:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Tide Turners:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world"
Membership Badge - Explorers,Core Badges,Activity,"Once you've made your Promise, you'll earn your Membership Award, featuring an image of the fleur de lis. This is the international Scout symbol, worn by Scouts all over the world.",Complete ALL 5 requirements,"Complete ALL of the following:
1. Describe the various ways you can become an Explorer Scout in your area
2. Show you understand the Scout Promise and Law
3. Demonstrate an understanding of local, national and international Scouting
4. After discussing it with your Explorer leader, describe the Unit management and support available to you, including the Unit Constitutio
5. ake the Scout Promise and accept the Scout Law"
Moving On,Core Badges,Moving On,,Manually awarded,No formal requirements - awarded by leader discretion
The YouShape Award - Central Badge,Core Badges,YouShape,"At Scouts, you learn how to speak up and take the lead. But you told us that the programme doesn't recognise this enough. That’s what the new YouShape Award is all about.",Complete ALL 1 requirements,"Complete ALL of the following:
1. Choose one thing you’d like to change, improve or deliver for Explorer Scouts in your District, and make it happen. This could be learning or teaching a new skill, developing your current talents or interests, or changing something about Explorers."
The YouShape Award - Lead,Core Badges,YouShape,Complete at least one of the following requirements.,Complete 1 of 4 requirements,"Complete 1 of the following:
1. 1. . Help a new adult volunteer complete their induction.
2. 2. Lead a session for another Explorer Unit.
3. 3. Lead a Unit Forum for your Unit.
4. 4. Lead a two night camp with no adult volunteers. You’ll need a Nights Away Events Passport."
The YouShape Award - Plan,Core Badges,YouShape,Complete at least one of the following requirements.,Complete 1 of 4 requirements,"Complete 1 of the following:
1. Plan a district event.
2. Think of a way to help people get better at something outside Scouts and share your idea in a Unit Forum.
3. Plan an entire programme to help other Explorers achieve a specific skill, goal, or badge.
4. Create an activity that helps young people not in Scouts to learn a Scouts skill."
The YouShape Award - Represent,Core Badges,YouShape,Complete at least one of the following requirements.,Complete 1 of 4 requirements,"Complete 1 of the following:
1. 1. Work with a member of your District or County/Area/Region Trustee Board to research and propose something to improve Explorer Scouts in your District or County.
2. 2. Identify a group of potential adult volunteers and tell them about the benefits of volunteering with Scouts.
3. 3. Take part in a project with Explorers from across your District that uses skills you’ve learned at Scouts to help people in your community.
4. 4. Work with your Group Lead Volunteer, District Lead Volunteer, or County Lead Volunteer to lobby a decision maker about an issue that affects Scouts."
