Badge Name,Category,Type,Description,Completion Rules,Requirements
Chef - Indoors,Activity Badges,Activity,Plan and produce a tasty menu for your Scout troop after they come back after a long day of activities.,Complete ALL 5 requirements,"Complete ALL of the following:
1. Plan a menu for a weekend event for between four and six people.
2. Show how and where to shop for the food and the best way to transport it.
3. Show how to store food properly, hygienically and in ways that prevent food poisoning.
4. Cook and serve at least one of the meals from your menu.
5. Demonstrate the best way to clear up afterwards."
Chef - Outdoors,Activity Badges,Activity,Plan and produce a tasty menu for your Scout troop after they come back after a long day of activities.,Complete ALL 5 requirements,"Complete ALL of the following:
1. Plan a menu for a weekend event for between four and six people.
2. Show how and where to shop for the food and the best way to transport it.
3. Show how to store food properly, hygienically and in ways that prevent food poisoning.
4. Cook and serve at least one of the meals from your menu.
5. Demonstrate the best way to clear up afterwards."
Circus Skills,Activity Badges,Activity,"Come and join the big top, be the star attraction, and entertain with your ace circus skills.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Take part in two circus skills
2. 2. Carry on putting effort into your two selected skills and show some  achievement.
3. 3. Demonstrate your two selected skills in front of an audience.
4. 4. Find out things about circus life and talk about these with an adult.
5. 5. Watch at least two circus or street performance events."
Climber,Activity Badges,Activity,"Climbing requires an inner determination to reach the summit, communication skills and working as part of team - perfect for a scout like you.",Complete ALL 8 requirements,"Complete ALL of the following:
1. 1. Show that you know the rope types used for rock climbing.
2. 2. Show that you know how to fit a climbing helmet and harness and how to tie in correctly.
3. 3. Show you understand the calls used in climbing.
4. 4. Show that you know how to abseil down a face. It should usually be at least 10 metres high.
5. 5. Take part in four or more separate climbs.
6. 6. Explain the safety rules for climbing on both natural and artificial rock faces.
7. 7. Show that you’re aware of environmental  issues around climbing on natural rock faces.
8. 8. Explain how to care for the equipment you used."
Communicator,Activity Badges,Activity,"Communication can help us reach out to more people, from longer distances and using a wide range of languages. Work towards your Communicator badge and help bring people closer together.",Choose 1 of 6 options,"Choose 1 of the following options:

Radio communication:
1. Radio Amateur Licence (Foundation, Intermediate or Full)

Radio communication:
1. Learn the regulations governing the use of amateur radio equipment.
2. Visit an amateur radio station.
3. Log 25 different amateur radio stations. Note the date, time, call sign, frequency, readability and location. You may include some broadcast stations.
4. Show how to tune a simple communications receiver.
5. Give an example of a typical greetings message.
6. Explain in simple terms how radio waves travel around the world.
7. Learn the more commonly used HF and VHF amateur frequency bands.
8. Learn the phonetic alphabet and define at least eight international Q code signals.
9. Show that you can recognise call signs from the UK and near continent.

Communication codes:
1. Send and receive a short message by Morse code or semaphore at a rate of five words per minute.
2. Show that you know the proper procedure for sending and receiving a message.
3. Learn the International Phonetic Alphabet and define at least eight international Q code signals.
4. Construct a simple Morse code oscillator and send a short message.

Mobile and internet communication:
1. Show you know how to use your mobile safely and how to keep it safe.
2. Learn the meaning of these terms: SMS, MMS, 3G, 4G, WAP and Bluetooth.
3. Send a creative text, multimedia or video message to invite a friend to a Scouts event.
4. Manage a mobile phone address book and set up groups of contacts.
5. Show you can text accurately at a rate of 50 characters per minute.
6. Show you know the meaning of some popular chat abbreviations.
7. Share photos and videos of a Scouting activity you’ve been involved with, using available technology.
8. Manage an email address book and set up groups of contacts.

Foreign languages:
1. Carry on a simple conversation for about 10 minutes.
2. Act as an interpreter for a visitor who does not speak your native language.
3. Write a letter of around 150 words.
4. After a few minutes of study, translate a paragraph of basic text.
5. Communicate with a person who does not speak your native language.

Translator:
1. Carry out a simple conversation for about 10 minutes.
2. Use sign language to describe a Scouting experience to another person.
3. Act as a translator for a short conversation between a sign language user and someone with no sign language experience.
4. Invite a sign language user to talk to your Troop about what it’s like to have impaired hearing or speech.
5. Help by translating for them during their visit."
Craft,Activity Badges,Activity,Unleash your crafty creativity and take your crafting skills to the next level.,Complete ALL 1 requirements,"Complete ALL of the following:
1. Make or decorate one or more articles using, whenever possible, original design ideas."
Cyclist,Activity Badges,Activity,Experience the thrill of the ride! Make certain your cycling skills are top-knotch as you plan your next cycling adventure.,ALL mandatory + groups,"MANDATORY (all required):
1. Use a bicycle that is properly equipped. Keep it in good working order for at least six months.
2. Show that you can carry out essential maintenance and repairs

Bikeability:
1. Bikeability Level 2 or 3

Road Cycling:
1. Explain what extra precautions you should take when cycling in the dark or in wet weather. Show you understand why motor vehicles take longer to stop in the wet.
2. Learn the basics of first aid and what to do if an accident happens.
3. Develop a working knowledge of map reading. Orientate a map using a compass or conspicuous features. Estimate distances and times taken to travel.
4. Plan and carry out an all-day cycle ride of at least 40 kilometres (25 miles).
5. Complete one of these: a. Show you can control a cycle along a slalom course b.Show you understand the Highway Code, including road signs and helmet use

Off-road Cycling:
1. Show you understand the Mountain Bike Code of Conduct.
2. Show you can control your cycle over different types of terrain.
3. Show you're aware of the damage that may be caused to the environment through careless cycling across the countryside
4. Learn the basics of first aid, including the treatment of hypothermia and find out what to do in the case of an accident.
5. Gain a working knowledge of map reading. Orientate a map using a compass or conspicuous features. Estimate distances and times taken to travel
6. Plan and carry out an all-day ride of at least 30 kilometres (20 miles)

British Schools Cycling Association Award:
1. The Gold Trix Award of the British Schools Cycling Association

Level 3 Go-MTB Award:
1. Level 3 Go-MTB Award from Cycling Scotland, Sustrans, CTC or Scottish Cycling MBLA"
DIY,Activity Badges,Activity,"Build, Modify or Repair – Develop your DIY acumen, and learn how to deal with emergencies and tackle DIY projects",Complete ALL 6 requirements,"Complete ALL of the following:
1. Show you know about hazard symbols and signs (for dangers such as toxic, flammable, irritant, electrical danger or slippery surface)
2. Show you know about safety equipment (such as goggles, gloves, masks, ear defenders)
3. Show you know how and where to turn off mains supplies (such as water, electricity and gas) to the house.
4. Learn how to safely isolate individual electrical circuits at the consumer unit.
5. Show or explain how you would deal with four DIY emergencies.
6. Take an active part in two major DIY projects, indoors or outside."
Dragon Boating,Activity Badges,Activity,Get up and get in the water and have a go at this ancient and exciting Chinese team sport,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Learn the safety rules, the capsize drills, the water buddy system
2. 2. Learn the procedures for loading, numbering off, stopping, bracing the boat, forward and backward paddling.
3. 3. Learn the instructions and commands issued by The Dragon Boat Racing Association.
4. 4. Carry out practice training sessions for a minimum of two hours.
5. 5. Take part in a competitive or timed dragon boat event over a course of at least 250 metres."
Electronics,Activity Badges,Activity,There’s a bright spark in us all. Master the clever systems and circuits to support modern life.,Complete ALL 11 requirements,"Complete ALL of the following:
1. 1. Identify a number of common electronic components that are shown to you.
2. 2. Describe the systems used for marking components with their values.
3. 3. Show that you know the symbols used to represent common components in circuit diagrams.
4. 4. Show that you’re aware of the safe working practices to be followed when handling electronic components, circuit boards and when soldering.
5. 5. Use a multimeter to measure voltage, current and resistance in a simple circuit.
6. 6. Talk about the main differences in the operation of digital and analogue circuits.
7. 7. Construct three simple circuits.
8. Show how to identify the polarity of a diode and a specific PIN on an integrated circuit.
9. 8. Explain the principles behind the operation of each circuit and the typical values of voltage and current found in each.
10. 9. Explain the possible uses of the three circuits you built.
11. 10. Talk about the uses and benefits of electronics in everyday life."
Entertainer,Activity Badges,Activity,"Showcase your performing talent, accept a standing ovation and have fun mastering an original piece of entertainment.",Choose 1 of 2 options,"Choose 1 of the following options:

:
1. Write and plan some original entertainment.
2. Present the entertainment to an audience at a school, for your Troop or at a parents’ evening.
3. Rehearse the entertainment and make sure everyone has a job to do.

:
1. Take an active part in a Scout show or another production."
Environmental Conservation,Activity Badges,Activity,Make a difference a play an active part in improving the environment in your local area. Complete the badge and help protect the environment for future generations.,Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Find out about an environmental issue that is important to your local community.
2. 2. Take part in an activity or project that improves local conservation.
3. 3. Get involved in a campaign to make others aware of an environmental issue."
Equestrian,Activity Badges,Activity,"Perfect your walk, trot and canter. Showcase your horsemanship skills and create an emotional and trusted bond with your horse",Complete ALL 9 requirements,"Complete ALL of the following:
1. Show you can catch a pony from a field or stable and tack up for riding.
2. Walk, trot and canter a pony
3. Jump over small fences.
4. Groom your pony correctly and explain why it is necessary
5. Show you know how to take care of saddlery and other equipment
6. Find out about some of the basic health issues affecting horses and ponies, including worms and laminitis.
7. Show you have a basic knowledge of grass management. Show you recognise poisonous plants and the results of overgrazing
8. Talk about road safety for riding.
9. Explain why you need a hat, body protector, stirrup and other safety equipment"
Farming,Activity Badges,Activity,Learn about the process behind the food on our plates. You'll get some hands-on practical experience and develop a deeper appreciation for the natural world.,Choose 1 of 3 options,"Choose 1 of the following options:

Farming:
1. Learn about farming practices in your area
2. Find out about the organisation, as well as the daily and seasonal operations, of a farm of your choice. Make a note of practices relating to livestock, crops, cultivation, rotation, machinery and labour force.
3. Find photos to demonstrate the changes in farming practices that have taken place over a number of years. Explain the reasons for these.

Smallholding:
1. Cultivate an area of garden or an allotment for a specific length of time. Agree this beforehand with your leadership team.
2. Show you're successful in growing: three kinds of hardy annual flower, three kinds of vegetable and two kinds of bulbs, herbaceous plants, flowering shrubs or rose
3. Keep a record of the work you've done and the results you've achieved. This could include height records of the flowers, for example.

Livestock:
1. Keep any kind of livestock for at least three months."
Fire Safety,Activity Badges,Activity,Learn the fire safety essentials. Master the precautionary measures to take to prevent a fire.,Complete ALL 10 requirements,"Complete ALL of the following:
1. 1. Explain what action should be taken and why, if you discover a fire has broken out in the home or at camp.
2. 2. Explain the process of combustion.
3. 3. Be aware of dangers in the home and understand the fire precautions necessary.
4. 4. Explain the benefits of installing smoke detectors.
5. 5. Learn what the dangers of campfires are and what precautions should be taken.
6. 6. Find out about the causes of heath and grass fires.
7. 7. Learn how to make an emergency call for the fire service.
8. 8. Identify different fire extinguisher types such as water, dry powder, foam and carbon dioxide.
9. 9. Find out what to do if a person’s clothes are on fire.
10. 10. Talk to your family about what to do in the event of a fire at home."
Forester,Activity Badges,Activity,Discover how to manage and identify trees – and help preserve our woodland.,Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Identify at least eight common types of tree that grow in your area, including both deciduous and coniferous.
2. 2. Find out how to identify trees using identification keys.
3. 3. Prepare the soil and successfully transplant a young tree.
4. 4. Find out how both natural woodland and commercial forests are managed.
5. 5. Show how to select, use and care for forestry equipment, and know the safety issues involved.
6. 6. Show how to fell and trim out a tree or lay a hedge."
Fundraising,Activity Badges,Activity,Become the inspiration for people to start supporting good causes.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Identify and organise a fundraising initiative.
2. 2. Think of a short reason that tells potential donors about your chosen cause.
3. 3. Set a target and a date by which you’ll have raised the money.
4. 4. Write a short report about your fundraising challenge and submit it to your leader, Troop Forum or Patrol Leaders’ Council."
Geocaching,Activity Badges,Activity,"Discover the exciting adventure of geocaching, where you can enjoy the freedom of being outside and identifying new places. All you require is a handheld GPS device and a sense of fun.",Complete ALL 8 requirements,"Complete ALL of the following:
1. 1. Show that you know about the Global Positioning System (GPS).
2. 2. Programme a handheld GPS.
3. 3. Show that you know the difference between Ordnance Survey, and latitude and longitude coordinates.
4. 4. Using an Ordnance Survey map (1:25000 or 1:50000 scale) to plan a route of at least 4km that contains a minimum of 10 waypoints.
5. 5. Sign up to a geocaching website.
6. 6. Show that you understand the safety and environmental aspects of geocaching, such as the Highway Code, Countryside Code and the Geocaching Association of Great Britain (GAGB) guidelines.
7. 7. Find five geocaches using a GPS. At least three geocaches must be ‘multi-caches’, with at least two waypoints.
8. 8. With the help of an adult create two caches."
Global Issues,Activity Badges,Activity,"Help make the world a better place, learn about important global issues and play your part in helping change the world.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Identify where your clothing or other belongings have been made.
2. 2. Investigate a recent natural disaster by looking at photos, news articles or videos online.
3. 3. Find out about an international sporting event and discuss with your Troop how sporting events can contribute to international peace and understanding.
4. 4. In small groups, learn about an international health issue and use a creative way to share what you have learnt with your Troop.
5. 5. Think about the rights that we have in the UK (like the right to vote, the right to go to school and equal gender rights)."
Hill Walker,Activity Badges,Activity,"Whistle down the wind, increase your stamina and explore the UK's green and pleasant lands.",Complete ALL 9 requirements,"Complete ALL of the following:
1. 1. With others, plan at least five one-day journeys of at least 14km in hilly country.
2. 2. Using Ordnance Survey maps, complete all the information you need to plan the route for each journey.
3. 3. Learn how to summon help in an emergency.
4. 4. Make sure you know the different types of  hazards you might come across.
5. 5. Before setting out, list the equipment that should be taken and explain how to use them correctly.
6. 6. During the journey, show how you use the map and compass.
7. 7. Show you're aware of ways to preserve the natural environment, such as avoiding erosion and conserving wildlife habitats.
8. 8. Show that you're aware of developments in technology, such as the Global Positioning System (GPS), digital mapping or waterproof maps.
9. 9. Show that you know the publication Safety on Mountains, published by the British Mountaineering Council"
Hobbies,Activity Badges,Activity,"Take part in a hobby and develop your skills. You could choose to develop your creative and artistic flair, play sports or take part in other pursuits.",Complete 1 of 2 requirements,"Complete 1 of the following:
1. Take up a hobby or interest that you do not already have an activity badge for.Keep a record of your hobby for at least four months.
2. Make a collection or study of objects for at least four months.You could collect books or magazines, films, cards, key rings, figurines or similar.Talk to your Patrol Leader or your Troop about the collection or study you chose.Explain why you chose your objects and what you like about them."
Instructor,Activity Badges,Activity,"We prepare young people with skills for life. Each year we help over 460,000 girls and boys enjoy fun and adventure while developing skills to succeed. Do more. Learn more. Be more.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Hold the activity badge in your chosen activity.
2. 2. Know what a young person in your section has to do to achieve the activity badge, so that you can instruct them in that subject.
3. 3. Attend a training course covering the technical skills involved in the activity badge and the use of appropriate training methods.
4. 4. Assist with the training of other young people in your section in the subject, over a period of at least three months."
International,Activity Badges,Activity,Explore the culture and traditions of other countries. Your journey will broaden your horizons as you learn about different communities.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Find out about the World Scout Movement’s history and what it does today.
2. 2. Take part in a traditional craft or creative activity from another country.
3. 3. In a language other than your own, introduce yourself and say a few basic, useful, everyday phrases.
4. 4. Take part in one of an event individually or with the Troop and report back to other Scout."
Librarian,Activity Badges,Activity,Discover a world of knowledge at your fingertips. Showcase your library catalogue knowledge and other librarian skills.,Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Show that you know how to look after books and e-readers.
2. 2. Show that you can use a library catalogue.
3. 3. Explain how fiction and non-fiction books are arranged on the shelves.
4. 4. Learn what is meant by a reference book or material.
5. 5. Show how you would search for information using the internet.
6. 6. Talk to your assessor about books you have read and why you enjoyed theminformation you found from books or websitesgetting books on the internet for e-readers."
Lifesaver,Activity Badges,Activity,Develop your Lifesaver decision-making and planning skills. Become primed in understanding how to react in emergency situations.,Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Explain and, if you can, show how you would carry out a rescue from water
2. 2. Reach a recognised standard
3. 3. Explain and, if you can, show what you would do if a person or a pet fell through ice"
Local Knowledge,Activity Badges,Activity,"Get to know your local area like the back of your hand. Explore all its routes, roads and useful places.",Choose 1 of 3 options,"Choose 1 of the following options:

Rural and suburban areas:
1. Show that you know the local area surrounding your home or Scout Headquarters, up to a radius of 2 kilometres in suburban districts and 5 kilometres in rural districts.
2. Use a street map to point out six locations from step 1. From your home or Scout Headquarters, show the quickest route to one of the places.

Urban:
1. Gain a general knowledge of what parts of the country are served from your local airport, mainline railway and coach stations.
2. Find out how to reach the local airport, mainline railway and coach stations, and major tourist attractions from your Scout Headquarters or home.
3. Show how to use a map of your district.
4. Use it to point out any six places of interest. Show how to get to these places from your Scout Headquarters or home.
5. Give clear directions to a place of interest 8 kilometres away, to a person travelling by car or public transport.
6. Find out which major local roads link to the motorway and A-road network and the main cities these roads serve.

Heritage:
1. Study an aspect of national history, local history or family heritage.
2. Over a period agreed with your leader, get involved in a project to help preserve some aspect of national or local heritage."
Martial Arts ,Activity Badges,Activity,"Hone your combat skills in Martial Arts. Display a blend of strategy, strength and calmness under pressure.",Complete ALL 2 requirements,"Complete ALL of the following:
1. 1. Take part in a regular martial arts activity that’s recognised by your sports council for at least six months.
2. 2. Take part in a competition or demonstration and talk about your performance with an instructor."
Master at Arms,Activity Badges,Activity,"Shoot an arrow with precision, Fire a rifle with pinpoint accuracy or fence with Olympian finesse.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Attend regular training sessions in a relevant activity like fencing, shooting or archery.
2. 2. Learn the safety rules associated with your activity and show how to follow them.
3. 3. Take part in your chosen activity at an officially supervised contest."
Mechanic,Activity Badges,Activity,Fuel your imagination and develop problem-solving and critical thinking skills. Develop your practical vehicle maintenance knowledge.,Choose 1 of 4 options,"Choose 1 of the following options:

Motor Car:
1. Learn the principles of operating an engine. Make sure you understand the function of the clutch, gearbox and rear axle differential.
2. Show how to check and refill the windscreen wash bottle of a car.
3. Show how to change a bulb at the front and in the rear light cluster of a car.
4. Show how to check the level of coolant in the radiator, ‘top up’ the radiator and explain the importance of anti-freeze.
5. Show how to check tyre pressures and inflate a tyre correctly.
6. Remove and replace a road wheel.
7. Explain what to look for when checking that a tyre conforms to the legal requirement. Find out why tyres with different amounts of wear should not be mixed on the same axle.
8. Show how to change a wiper blade.
9. Explain the outline requirements for an MOT road test.

Power Boat:
1. Power Boat Part 1
2. Power Boat Part 2

Aircraft:
1. Learn the basic principles of one these component parts and be able to point them out, an aircraft piston engine, an aircraft gas turbine engine.
2. Learn the basic principles of flight and airframe construction of a fixed wing aircraft.
3. Learn and then demonstrate Aircraft Marshalling signals used by day and night.
4. Show you can carry out any four of the taks

Motorcycle or scooter:
1. Learn the principles of operating an engine. Learn about the function of the clutch, gearbox, carburettor and transmission of a motorcycle.
2. Remove and replace a road wheel.
3. Check and top up the level of the engine oil.
4. Explain how to adjust the tension of the final drive chain.
5. Show how you change a bulb at the front and in the rear light cluster.
6. Show how you would check tyre pressures and inflate a tyre correctly.
7. Explain what to look for when checking that a tyre conforms to the legal requirement.
8. Explain the outline requirements for an MOT road test."
Media Relations & Marketing,Activity Badges,Activity,"Develop your eye for a compelling story and generate ‘hooks’ to draw in audiences. Become a creative storyteller, and get media coverage for your story.",Complete 3 of 7 requirements,"Complete 3 of the following:
1. 1. Produce and give a presentation about Scouting.
2. 2. Write a press release about a Scout event that has taken place.
3. 3. Find out about local media outlets such as radio, TV, newspapers and online.
4. 4. Prepare and present an audio or video package about a Scouting event or activity.
5. 5. Prepare a creative display about your Troop or Group that can be exhibited in your local library, information centre or public place.
6. 6. Interview a local public figure or someone in the local news, such as a church leader, politician or celebrity and present the interview to your Troop.
7. 7. Produce some media which can be used within Scouting, such as a district newsletter story or a piece of website content."
Meteorologist,Activity Badges,Activity,"Rain or shine, wind or snow – ignite your passion for the weather.",Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Explain how each of these are measured:Wind force and direction, Cloud type and extent, Temperature, Pressure, Rainfall, Humidity
2. 2. Record the weather conditions every day for two weeks, or once a week for three months.
3. 3. Identify different cloud types.
4. 4. What do ‘warm’ and ‘cold’ air masses in summer and winter do to the typical weather in your area?
5. 5. Explain how weather forecasts are created.
6. 6. Show that you understand a synoptic weather map, including fronts and isobars."
Model Maker,Activity Badges,Activity,Show your creativity and attention to detail as you become an expert Model Maker.,Complete 1 of 5 requirements,"Complete 1 of the following:
1. Model aeroplanes
2. Model boats
3. Model cars
4. Model trains
5. General model making"
Money Skills,Activity Badges,Activity,Learn how to be confident in decisions around money.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Learn about how money is used online.
2. 2. Learn how to budget and make smart choices with your money.
3. 3. Find out how saving and borrowing money works.
4. 4. Explore how money can affect your feelings and wellbeing."
My Faith,Activity Badges,Activity,Develop a deeper aptitude of your beliefs and how they help to guide you through all the stages of your life,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Take an active part in your place of worship.
2. 2. Find out more about the origins of your faith.
3. 3. Explore something about the history of your faith at a local, national or international level.
4. 4. Explain to an adult some of the teachings of your faith."
Naturalist,Activity Badges,Activity,Become a great Naturalist and play your part in preserving the natural world as a whole.,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. With appropriate permission investigate the wildlife and plants found
2. 2. Tell a knowledgeable adult what you discovered.
3. 3. Find out more about a plant, animal or particular wildlife from your chosen location.
4. 4. Discuss what you found out, giving sources for information from places like museums, field guides or the internet.
5. 5. Discuss how human activities or land management can affect wildli"
Orienteer,Activity Badges,Activity,"Find your way from one point to another, using only a map, a compass and your brain",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Learn about the map colours and common symbols used on an orienteering map.
2. 2. Orientate a map using either terrain or a compass.
3. 3. Complete three courses at orienteering events recognised by British Orienteering or another similar standard.
4. 4. Show you know the safety procedures, basic first aid, appropriate clothing and equipment for countryside navigation.
5. 5. Show that you know the Countryside Code."
Parascending,Activity Badges,Activity,Take flight and experience the thrill of parascending. Adventure awaits!,Complete ALL 4 requirements,"Complete ALL of the following:
1. Take part in a parascending course.
2. Learn the main characteristics and different types of parachutes used by  parascenders.
3. 3. Show a basic knowledge of the theory of flight.
4. 4. Experience at least four parascending flights."
Photographer,Activity Badges,Activity,"Take an image, freeze a moment, and discover the art of photography.",Choose 1 of 2 options,"Choose 1 of the following options:

Still photography:
1. 12 photos or 6 B&W photos
2. Show that you know the main settings on a digital camera or a smartphone camera.
3. Describe what accessories are available to use with digital cameras or smartphone cameras.
4. Edit a selection of your images, using editing software on a computer or using an app on a smartphone.
5. Diagnose typical faults that happen at the photographing or editing stages, such as over or under exposure and high or low contrast.
6. Show that you know how to care for a digital camera or smartphone camera.

Video photography:
1. Produce at least two short films
2. Show that you understand: camera techniques & production techniques
3. Show that you know how to care for a video camera and accessories, such as storage media, batteries, microphones and lights or discuss the differences between recording video on a video camera, digital camera and a smartphone."
