Badge Name,Category,Type,Description,Completion Rules,Requirements
Disability Awareness,Activity Badges,Activity,Discover how to make the world a more inclusive place for everyone.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Find out about two different disabilities that you could learn more about
2. Find out more about a piece of equipment, assistive technology or adaptation for disabled people that can be used at school or work.
3. Find out about the best ways to communicate with different disabled people.
4. Choose your favourite activity, hobby or sport and think of ways it could be made more accessible"
DIY,Activity Badges,Activity,"Hammer, hang, sand and stain. Make some nice things for your home – or repair them again!",Complete ALL 4 requirements,"Complete ALL of the following:
1. Show how to use and take care of tools safely
2. Talk to your leader about how to work safely on your projects, especially when you're using electric tools.
3. Learn what the difference is between hard wood, soft wood, chipboard, plywood and MDF.
4. Help design and make something useful"
Entertainer,Activity Badges,Activity,"Psst! Did you know David Bowie first performed at a local Scout show? With a little planning and confidence, you too can steal the show. Lights! Camera! Action!",Complete 2 of 9 requirements,"Complete 2 of the following:
1. Help to plan and perform some recorded entertainment, like a video or audio story.
2. Take part in a show, concert or band performance
3. Make up and perform a dance to a piece of music of your choice
4. Help plan and perform a series of magic tricks.
5. Help to make up a mime or play, then perform it
6. Perform a puppet play or shadowgraph using puppets that you have made.
7. Sing two songs
8. Perform some folk or traditional dance
9. Make a selection of simple rhythm instruments"
Environmental Conservation,Activity Badges,Activity,"From the air we breathe to the soil we stand upon and the energy we use to power our homes, we rely on the earth’s resources for our very survival. Let’s work together to protect it.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Learn how to separate recyclable and non-recyclable rubbish ready for collection
2. Find out how to reduce the energy and water you use in your home.
3. Find out about one type of renewable energy.
4. Take part in two projects with a group of other people"
Equestrian,Activity Badges,Activity,Giddy up and get ready to ride! It’s time to show off your skills in the saddle.,Complete ALL 9 requirements,"Complete ALL of the following:
1. Show that you know how to dress safely for riding.
2. Point out the main body parts of a pony or horse
3. Point out the main parts of a saddle and bridle.
4. Learn how to approach a pony or horse correctl
5. Learn how to mount and dismount a horse safely
6. Show the correct way to sit in the saddle.
7. Show how to hold the reins correctly.
8. Show how to walk and trot safely in an enclosed area, without a leading rein.
9. Show two skills"
Fire Safety,Activity Badges,Activity,"Flames fuel our campfires and keep us snuggly and warm. But they can also be very dangerous and spread very quickly.  Learn how to handle fire safely, and find out what to do in an emergency.",Complete ALL 7 requirements,"Complete ALL of the following:
1. Visit a fire station or invite a firefighter to your meeting place or Llarn about some of the other things that firefighters do
2. Take part in a fire drill at your meeting place.
3. Make an emergency escape plan for your home.
4. Find out why it’s important to use smoke and heat detectors
5. Point out three possible dangers at home or your meeting place that could start a fire.
6. Find out how to keep a campfire safe for everyone.
7. Explain how you should behave around a bonfire and fireworks."
Gardener,Activity Badges,Activity,"Experience the joy of gardening and get to know your vegetables, fruits and herbs.",Complete ALL 5 requirements,"Complete ALL of the following:
1. Find out what seasons are best to grow a selection of six fruits and vegetables.
2. Learn what tools you need to garden (a minimum of three) and show that you know how to use them safely.
3. Help to look after and grow at least one item in a garden or allotment for two months
4. Design plant labels for the plants you are looking after or growing
5. Understand what mini beasts are and why they are good for our gardens and outdoor spaces."
Global Issues,Activity Badges,Activity,"The Scouts are proud to support the Global Goals that children, adults and governments all over the world are aiming to achieve. Together, we can make the world a better place, and it all starts with you.",Complete ALL 5 requirements,"Complete ALL of the following:
1. Find out about an international charity; what do they do and why is it important?
2. Monitor the waste you produce as a Cub Pack and make a plan to reduce, reuse and recycle your Pack's waste.
3. Take part in an international awareness day or week.
4. Think about what you would need to survive if you became homeless because of a disaster, like flooding or an earthquake.
5. Identify five belongings of yours that have come from other countries."
Hobbies,Activity Badges,Activity,"Do you have a special hobby you already love to practice? Share your expertise with the group, or try something new.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Over three months, be actively involved in a hobby of your choice
2. Show and explain to your leader or Explorer Scout Young Leader what equipment, materials and background information you have used to take part in your hobby including any safety rules.
3. Talk about your hobby including why you have chosen it and what you enjoy about it.
4. Talk to your leader about how you plan to develop your hobby, interest or skill in the future."
Home Help ,Activity Badges,Activity,"Bubble, boil, sweep and steam! Learn how to keep things tidy and clean!",Complete ALL 8 requirements,"Complete ALL of the following:
1. 1. Plan, cook and serve a simple one-course meal.
2. 2. Wash up afterwards.
3. 3. Help sort out the washing. Load and unload the washing machine.
4. 4. Iron at least two items.
5. 5. Sew on a button.
6. 6. Help to clean and tidy a living room.
7. 7. Clean at least two items in your home.
8. 8. Take sheets, pillow covers and the duvet cover off a bed and help to put clean ones on. Make your own bed for a week."
Home Safety,Activity Badges,Activity,"Everyone should feel safe and snug in their own space. Learn how to prevent accidents in the home, and find out what to do if they happen.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Find out what to do about a burst water pipe, gas leak or electricity power failure in your home.
2. 2. Identify the common causes of accidents in the home.
3. 3. Find out how to protect your home from crime.
4. 4. Find out where the nearest public telephone box is to your house.
5. 5. Make a list of useful emergency numbers."
International,Activity Badges,Activity,"At Scouts, we’re proud of our international identity. Join us in celebrating different cultures around the world. Where would you most like to go? What would you most like to see?",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Draw or create the World Scout Badge.
2. 2. Make, build or draw something to represent a country.
3. 3. Explore another country’s traditions and culture around food and eating.
4. 4. Take part in the activities of a celebration or festival that usually takes place in another country."
Local Knowledge,Activity Badges,Activity,"Have an adventure on your very own doorstop! Become a tourist in your hometown! This badge is all about celebrating the streets you call home, and seeing them through fresh eyes.",Complete 3 of 5 requirements,"Complete 3 of the following:
1. Find out about a famous person who lived in or near your area.
2. Collect pictures of your county, borough, district, town or village coat of arms.
3. Talk to someone who has lived in your local area for a long time.
4. Draw a map of your area.
5. Design a poster, leaflet or web page to advertise your area to a visitor."
Martial Arts,Activity Badges,Activity,"This badge is all about growing healthy and strong, and staying calm under pressure. Learn to control your body and mind, and you’ll be a Martial Arts master in no time. KAPOW!",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Regularly take part in a martial arts activity for at least three  months.
2. 2. Discuss with a leader the skills needed and the rules to be observed.
3. 3. Take part in one exhibition or competition."
Money Skills ,Activity Badges,Activity,Learn how to be confident in decisions around money.,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Show you know about foreign currency by explaining how a Scout from another country would exchange their money if they came to a camp in the UK.
2. 2. Show how you’d create a budget for a Scouts activity.
3. 3. Learn about the things that can influence different people’s spending decisions (from religious beliefs to adverts and peer pressure) and create a list of things that might influence your spending decisions.
4. 4. Talk with your group about how people from different cultures can gain, save, and give away money, and choose a way of gaining, saving, or giving away money that you’d like to try.
5. 5. Create a guide for how young people can recognise and protect themselves from online scams and fake, counterfeit money."
My Faith,Activity Badges,Activity,"Having a faith means having complete confidence and trust in something that matters to you. Whether you have a religion you follow or not, join us to celebrate what faith means.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Find out about your place of worship and something about:
2. 2. Choose a favourite prayer or reading.
3. 3. Choose your favourite festival."
Naturalist,Activity Badges,Activity,"Learn how to identify different trees, birds and flowers. Sit back and watch the seasons change.",Complete ALL 3 mandatory + 1 of 5 optional,"MANDATORY (all required):
1. 1. Learn how to identify six different living things
2. 2. Over three months, visit the same natural area at least four times.
3. 3. Learn the countryside code and how to follow it.

PLUS 1 of the following:
1. Make a hedgehog, ladybird or bee house.
2. Create a piece of art using natural material. You could do a bark or leaf rubbing, dried flower picture or maybe a collage.
3. With an adult pick wild edible berries, leaves or fruit. Use them in a recipe.
4. Use a dye that uses natural ingredients to colour a piece of material.
5. Make a feeding station for birds. Get permission to hang it in a good position."
Personal Safety,Activity Badges,Activity,"When you’re out and about having adventures, keeping yourself safe is a must. Find out how to protect yourself in a range of sticky situations.",Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Explain the dangers of playing on or near two of these:
2. 2. Show you can use at least one of these codes:
3. 3. Make up a safety code of your own choice.
4. 4. Explain what you must do if a stranger starts to talk to you.
5. 5. Find out how and why you might contact a helpline like ChildLine, for example.
6. 6. Explain the best ways to stay safe while online.
7. 7. Memorise your address and your home telephone number or a parent’s mobile phone number."
Photographer,Activity Badges,Activity,"Cameras let us freeze moments in time so we can revisit them later. Capture some amazing photos of your favourite people and places, and hang them proudly on the wall.",Complete ALL 3 mandatory + 1 of 4 optional,"MANDATORY (all required):
1. Show that you know how to use and look after a digital camera or smartphone camera.
2. 2. Take at least five photos of your local area that could be used on a tourist leaflet or website.
3. 3. Take photos while you’re on a trip, camp or another event.

PLUS 1 of the following:
1. Create two photos of the same thing, one in colour and one in black and white. Compare how the effects change the way the final picture looks.
2. Edit a photo using a smartphone or editing software. Explain what you have changed and why.
3. Make a short film on a subject of your choice.
4. Using a series of photos, make a short animation sequence."
Physical Recreation,Activity Badges,Activity,"Our bodies are the greatest instruments we will ever own. To function at their best, they need fuel and exercise. Let’s go!",Complete ALL 5 requirements,"Complete ALL of the following:
1. 2. Tell your leader about the sports you take part in.
2. 3. Show that you’re fairly skilled in your sports.
3. 4. Bring the clothing and equipment for the sport you’ve chosen along to a meeting.
4. Find out as much as you can about your sports, especially the rules.
5. 5. Tell a leader about the training and preparation you take part in for your chosen sport."
Pioneer,Activity Badges,Activity,Learn how to make structures from basic materials and work together to build something great.,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Make your own rope, perhaps using a rope machine or working with a friend.
2. 2. Tie a simple lashing.
3. 3. Show how you would: a. Tie three different knots, such as a reef, figure of eight, sheet bend or bowline. b. Make one hitch, such as a clove hitch, round turn and two half-hitches or a cow hitch
4. 4. Take part in a knot game.
5. 5. Build an indoor pioneering project using simple knots and lashings."
Road Safety ,Activity Badges,Activity,"Cars are an important part of everyday life in most of the world, especially if you want to get out there and explore the open road. Learn how to identify different traffic signs and stay safe.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Draw or take photos of 10 different traffic signs.
2. 2. Show how to use the Green Cross Code.
3. 3. Tell a leader why it’s important to have different types of pedestrian crossing.
4. 4. Show that you know how to behave safely as a car passenger."
Scientist,Activity Badges,Activity,"From the cells in our bodies to the energy fuelling our homes and the stars in the night sky, we use science to find out more about the mind-boggling universe we call home. Pop on your safety goggles and get experimenting.",2 from  + 2 from  + 2 from ," (complete 2):
1. Find out what happens when you add salt to water.
2. Show how vinegar reacts with different items and explain what happens. The different items could be steel wool, sodium bicarbonate or old dirty coins.
3. Compare the density of water to the density of other liquids. Show how these liquids react to each other.
4. Make a pH indicator solution. Use it to test the acidity or alkalinity of other liquids.
5. Grow crystals.
6. Another activity agreed with your leader

 (complete 2):
1. Find a way to show that hot air rises.
2. Create a basic electrical circuit that includes a switch. Show how it could be used to control a lightbulb powered by a battery.
3. Make an air-powered balloon rocket or a water rocket. Investigate ways of improving how far it can travel.
4. Make a simple compass. Show the effects of metallic and magnetic materials upon it.
5. Use marshmallows and spaghetti to build the strongest tower you can. Explain how you improved your design.
6. Another activity agreed with your leader.

 (complete 2):
1. Set up a wormery or ant colony. Record what happens over three or four weeks.
2. Investigate what happens to your pulse rate before, during and after exercise.
3. Grow cress, beans, peas or a similar plant. Investigate what happens when the plant has no access to light. What happens when it has light, but no water?
4. Find a way to show that plants take water up through their stems.
5. Make some yoghurt and find out how living organisms are involved in the process.
6. Another activity agreed with your leader."
Skater,Activity Badges,Activity,"Grab a scooter. Lace up your rollerblades. Hop on a board. You might be a bit wobbly at first, but with a little practice you’ll be gliding effortlessly before you know it!",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Use a skateboard, scooter, or in-line, quad or ice skates, on at least three occasions.
2. 2. Learn some safety rules about skating on the road and in other public places.
3. 3. Show how to start, stop and turn safely.
4. 4. Show how to fall safely and regain balance.
5. 5. Show how you do three different manoeuvres."
Space,Activity Badges,Activity,"12 people have walked on the moon. 11 of them were Scouts. Expand your horizons and reach for
the stars, as you get to grips with our mind-boggling solar system",Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Find out about how the Earth moves round the Sun.
2. 2. Astronauts have lots of different tasks to do while they’re in space.
3. 3. Think about what space travel might look like in the future and share your idea with someone else.
4. 4. Learn what a satellite is and how they help us to study and protect our planet.
5. 5. Find out about stars and constellations, and how we can view them from Earth.
6. 6. Discover what asteroids and comets are, and how they have affected planets in our solar system."
Sports Enthusiast,Activity Badges,Activity,"If you love sport but would prefer to follow it rather than play it, now’s your chance to develop some expert knowledge.",Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Follow your chosen sport for at least three months.
2. 2. Find out the rules of the sport. Explain them to an adult.
3. 3. Show you have a good knowledge of the teams and/or personalities in your chosen sport.
4. 4. Explain what equipment is needed for the sport.
5. 5. List some major events for the sport of your choice.
6. 6. Describe events that you have attended for your chosen sport."
Water Activities,Activity Badges,Activity,"Sail down a river.  Ride a wave. Snorkel through the seven seas! If you’d like to feel more confident and comfortable in the water, this badge is for you.",Complete ALL 1 mandatory + 1 of 2 optional,"MANDATORY (all required):
1. 1. Explain the safety rules for all water activities.

PLUS 1 of the following:
1. Reach one of the specified standards
2. Take part in two activities"
World Faiths ,Activity Badges,Activity,"Having faith means having complete confidence and trust in someone or something that matters to you. Whether you have a religion you follow or not, join us on a journey to meet people from all over the world, and find out how they define and celebrate what’s important.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Visit a place of worship which is important to one of the World religions.
2. 2. Meet someone who belongs to one of the World religions, or has a set of beliefs which are different to your own.
3. 3. Find out about the places of religious significance for a World religion.
4. 4. Find out about the religious festivals and customs linked to a World religion."
Chief Scout's Silver Award,Challenge Awards,Top Award,"This is the highest award a Cub can earn. To complete it, you need to earn six Activity or Staged Activity Badges of your choice, as well as all seven of the Challenge Awards.",Complete 7 prerequisite badges + 6 activity badges,"PREREQUISITE BADGES (all required):
1. Our World
2. Our Skills
3. Our Outdoors
4. Our Adventure
5. Teamwork
6. Team Leader
7. Personal

PLUS 6 Activity or Staged Activity Badges of your choice"
Our Adventure,Challenge Awards,Challenge Award,"From grass sledging to zorbing, this award is all about embracing adventure and unlocking new talents. Step outside your comfort zone",Complete ALL 4 requirements,"Complete ALL of the following:
1. Take part in two different adventurous activities. At least one of them should be new to you.
2. Take part in six other outdoor activities. At least two of them should be new to you.
3. Go on a hike or follow a trail.
4. Prepare for your activities and hikes."
Our Outdoors,Challenge Awards,Challenge Award,Build a shelter. Sleep beneath the stars. The Great Outdoors await you.,1 from Camping Experience + 9 from Core Camp Skills + 2 from Additional Camp Activities,"Camping Experience (complete 1):
1. Take an active part in at least three nights away, on camps or Pack holidays.

Core Camp Skills (complete 9):
1. Cook a meal with your Six
2. Learn and follow the Countryside Code
3. Help to pitch and strike your tent
4. Show that you know how to look after yourself and be safe at camp
5. Show that you know how to keep your tent and kit safe, tidy and secure,
6. Show you know what things you need to do to, look after your campsite, and that you can put them into practise, 
7. Build a shelter big enough for two Cubs
8. Using bamboo canes, rubber bands or simple lashings complete a simple pioneering project or make a camp gadget,
9. Show that you know how to treat mild burns, scalds, cuts or grazes and make a call to the emergency services

Additional Camp Activities (complete 2):
1. Take part in a wide game
2. Cook a backwoods meal
3. Using knots that you've learned, make a simple camp gadget, like a flagpole
4. Take part in a campfire sing-along or other entertainment
5. Care for your personal equipment while at camp
6. Build a bivouac and sleep in it"
Our Skills,Challenge Awards,Challenge Award,Change a tyre. Pen a short story. Cook up a storm. This award is all about gaining new skills,Complete ALL 5 requirements,"Complete ALL of the following:
1. Try two new sports or physical activities at least once.
2. Take part in three activities to help you be healthy.
3. Pick two creative things to try, and show your leader what you've done.
4. Learn and use at least four skills
5. Take part in at least two problem-solving activities that you haven't done before"
Our World,Challenge Awards,Challenge Award,"Discover a whole world of cultures and traditions, right on your doorstep.",Complete ALL 8 requirements,"Complete ALL of the following:
1. Create a community map. What services are there? Where are they? Who are they for? Try and visit one of these services if possible.
2. Celebrate a festival from another country or culture.
3. As a Pack, identify and complete an activity that benefits your local community.
4. Take part in an act of worship, reflection or celebration.
5. Find out about a faith or culture you are not familiar with.
6. Talk about a time when you did your best.
7. Take part in an activity about the environment.
8. Play a game that Cubs play in another country and learn their Promise."
Personal,Challenge Awards,Challenge Award,Everyone has a different idea of what a challenge looks like. Choose two you'd love to accomplish and dive right in.,Complete ALL 2 requirements,"Complete ALL of the following:
1. Challenge 1
2. Challenge 2"
Team Leader,Challenge Awards,Leadership,Every team needs a leader to make things happen. Share your skills with others and make sure the voice of each and every Cub is heard.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Lead your Six in an activity or captain a team.
2. Help a new Cub to join in with the Pack meeting.
3. Teach another Cub a new skill.
4. Ask your Six or team what they want to do in Cubs, tell your leaders and help to make sure that it happens."
Teamwork,Challenge Awards,Challenge Award,"Two hands are better than one. Four hands are better than two. Work together to achieve a goal within your Pack, and take one for the team.",Complete ALL 5 requirements,"Complete ALL of the following:
1. Take part in at least six different team games with other Cubs.
2. Show your leaders what you did to help your team, and how you were a good team player.
3. Give examples of two different types of teams, and roles in those teams.
4. Complete at least two team building activities with other Cubs.
5. Take part in at least two Pack forums or something similar, and make a contribution that will be positive for your Pack."
Earth Tribe Award - Cubs,Core Badges,Earth Tribe,,Choose 1 of 3 options,"Choose 1 of the following options:

Champions for Nature:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Go Solar:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Tide Turners:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world"
Membership Badge - Cubs,Core Badges,Activity,"Once you've made your Promise, you'll earn your Membership Award, featuring an image of the fleur de lis. This is the international Scout symbol, worn by Scouts all over the world.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Find out about the Cub Pack
2. Find out about joining your Pack
3. Become a Cub Scout by making the Promise"
Moving On,Core Badges,Moving On,"Between the ages of 10 and 11, it's usually time for Cubs to move up to Scouts. Complete this award to get prepared for your new adventures.",Manually awarded,No formal requirements - awarded by leader discretion
Seconder,Core Badges,Leadership,"Within their Pack, Cubs join a Six - a smaller group led by a Sixer and Seconder. These older Cubs handle leadership duties like welcoming newcomers and running activities. They wear leadership stripes to show their roles and celebrate their service.",Manually awarded,No formal requirements - awarded by leader discretion
Sixer,Core Badges,Leadership,"Within their Pack, Cubs join a Six - a smaller group led by a Sixer and Seconder. These older Cubs handle leadership duties like welcoming newcomers and running activities. They wear leadership stripes to show their roles and celebrate their service.",Manually awarded,No formal requirements - awarded by leader discretion
The YouShape Award - Central Badge,Core Badges,YouShape,"This badge is all about thinking about what you want to achieve, setting a goal and making it happen.",Complete ALL 1 requirements,"Complete ALL of the following:
1. Choose one thing you’d like to improve at Cubs. Work with a parent or carer, Young Leader, or leader to make it happen. This could be learning a new skill, developing your current talents or interests, or changing something about Cubs."
The YouShape Award - Lead,Core Badges,YouShape,"Now it's time to take the lead – think supporting others, delivering your programme and nights away.  Complete at least one of the following requirements.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Lead a session that welcomes new Cubs.
2. Lead an entire session with the help of a Young Leader or adult volunteer.
3. Lead a Pack Forum for your Pack.
4. On camp, lead a day of activities and fun for your Pack with the help of a Young Leader or adult volunteer."
The YouShape Award - Plan,Core Badges,YouShape,"This badge is all about thinking creatively, working together and planning some exciting activities for your programme. Complete at least one of the following requirements. You should make your own decisions about which requirement(s) you'd like to achieve.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Plan an idea for a camp or trip and present it to your Pack.
2. Think of a way your Pack could achieve a badge requirement and share your idea in a Pack Forum.
3. Plan a Cubs meeting with your leader.
4. Create an activity that helps other Cubs achieve a badge requirement."
The YouShape Award - Represent,Core Badges,YouShape,"Think about how you’ll represent your group – you could engage your community, invite some friends to join the fun or chat to your Trustee Board. Complete at least one of the following requirements.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Tell your Group Trustee Board what you like and don’t like about Cubs.
2. Take part in a Scouts activity with young people who aren’t involved with Scouts.
3. With your Pack, take part in a project that uses skills you’ve learned at Cubs to help people in your community.
4. Visit a local decision maker, tell them what you like about Cubs, and ask them to help Scouts in your area."
