Badge Name,Category,Type,Description,Completion Rules,Requirements
Air Activities - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 3 mandatory + 4 of 7 optional,"MANDATORY (all required):
1. Describe how a wing generates lift and the conditions that can cause an aircraft to stall.
2. Name the main control surfaces of an aeroplane and how they work.
3. Flight Time Calculation Test

PLUS 4 of the following:
1. Draw a diagram or make a model of an airfield and name the key features.
2. Find out about unmanned aircraft, such as drones.
3. Try out a flight simulator. This could be done online, on an app, on a computer game or as an immersive experience.
4. Look at an online weather forecast and understand how different conditions (such as wind speed, visibility and cloud cover) impact flying.
5. Know the role of an airfield marshal.
6. Explore a place of aviation interest, such as an airfield, air display, aviation museum or through a virtual tour.
7. Send and receive a message using the phonetic alphabet, then explain why it's used to communicate in aviation."
Air Activities - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 3 mandatory + 4 of 7 optional,"MANDATORY (all required):
1. Trim a paper aeroplane or model glider to glide, stall and turn, then find out how an aircraft’s trimming, weight and balance can affect its flight.
2. Draw a runway and the circuit pattern that planes follow, then explain how air traffic control uses this circuit to keep planes safe and communicate with pilots.
3. Learn how the wind’s speed and direction are measured, then find out why they’re important during take-off and landing.

PLUS 4 of the following:
1. Try an air-based activity and share what you learned.
2. Find out about the roles and responsibilities of flight crew members, such as pilots, co-pilots, engineers or cabin crew.
3. Simulate a take-off and landing using a flight simulator.
4. Explain why pilot's (and other flight crew) use a pre-flight checklist.
5. Explore the different types of emergency radio calls used in aviation, such as mayday and pan-pan
6. Follow the flight path of an aircraft using maps and satellite images and see how landmarks help pilots find their way.
7. Learn why Morse code is still used by navigational beacons and recognise six three-letter sequences."
Air Activities - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 3 mandatory + 4 of 8 optional,"MANDATORY (all required):
1. Find out about the different types of air traffic control services used at airfields and airports.
2. Explain why aircrafts have flaps, slots and slats and find out how each of them works.
3. Design and build a model of a part of an aircraft and explain how it helps the plane fly.

PLUS 4 of the following:
1. Explore the relationship between aviation and climate change.
2. Explore a new aviation technology or come up with your own idea for a futuristic invention.
3. Learn about the emergency procedures for one specific type of aircraft.
4. Find a major flight path that’s close to you and explain how it’s chosen and why it helps make air travel safe and efficient.
5. Take part in an air activity you haven't tried before or show a reasonable level of skill in an air activity you already practise.
6. Learn what runway markings mean, then explain how lights and pyrotechnic signals are used for ground-to-aircraft communication.
7. Learn about the different types of airspace, such as controlled, uncontrolled and special use.
8. Work with a team and take on different roles (such as pilot, co-pilot, air traffic control, air marshal, and ground crew) to simulate safely completing a flight."
Community Impact - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Identify need. Investigate what issues and challenges exist in your chosen community – it could be local, national or international.
2. Plan action. Decide what issue your section should take action on and what you want to change. Talk to your section about what actions you would like to take.
3. Take action over three months. Spend at least four hours personally taking action on your chosen issue. You can achieve more impact by spreading your time out over a month, instead of doing it all in one go. Involve others in the action. Work in a team with your section and preferably people in the community you are trying to help.
4. Learn and make more change. Discuss with your section what you’ve learned, how you have made people’s lives better, how taking action has developed you, and what you could do to help even more people in your chosen community.
5. Tell the world. Help other people to understand why the issue you took action on is important, what you did and how they can help."
Community Impact - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Identify need. Investigate what issues and challenges exist in your chosen community – it could be local, national or international.
2. Plan action. Decide what issue your section would like to take action on and what you would like to change. Work with a group of people not involved in Scouting, who are passionate about your cause, to plan action that will make a positive difference.
3. Take action over six months. Spend at least 12 hours personally taking action on your chosen issue. You can achieve more impact by spreading your time out, over four months, instead of doing it all in one go. Involve others in the action. Work in a team with your section and preferably people in the community you are trying to help.
4. Learn and make more change. Discuss with your section what you’ve learned, how you have made people’s lives better, how taking action has developed you, and what you could do to help even more people in your chosen community.
5. Tell the world. Help other people to understand the issue you have made a positive impact on is important and why it’s important. Show what you did and how they can also help."
Community Impact - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Identify need. Investigate what issues and challenges exist in your chosen community – it could be local, national or international.
2. Plan action. Decide what issue your section would like to take action on and what you would like to change. Work with a group of people not involved in Scouting, who are passionate about your cause, to plan action that will make a positive difference.
3. Take action over nine months. Spend at least 24 hours in total personally taking action on your chosen issue. You can achieve more impact by spreading your time out, over six months, instead of doing it all in one go. Involve others from your section and a group of non-Scouts, preferably from the community you are trying to help.
4. Learn and make more change. Discuss with your section what you’ve learned, how you have made people’s lives better, how taking action has developed you, and what you could do to help even more people in your chosen community.
5. Tell the world. Help other people to understand why your chosen issue is important. Explain what you did and how they can also help."
Community Impact - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Identify need. Investigate what issues and challenges exist in your chosen community – it could be local, national or international.
2. Plan action. Decide what issue your section would like to take action on and what you would like to change. Work with a group of people not involved in Scouting, who are passionate about your cause, to plan action that will make a positive difference.
3. Take action over twelve months. spend at least 48 hours personally taking action on your chosen issue. You can achieve more impact by spreading your time out over the year, instead of doing it all in one go. Involve your section and a group of non-Scouts, preferably people from the community you are trying to help.
4. Learn and make more change. Discuss with your section what you’ve learned, how you have made people’s lives better, how taking action has developed you, and what you could do to help even more people in your chosen community.
5. Tell the world. Help other people to understand why your chosen issue is important, how you have made a positive impact and how they can help."
Digital Citizen  - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. In a creative way of your choice, map out your regular digital actions, such as searches, clicks or posts.
2. Learn how to create a secure password and make one of your own.
3. Share three ways young people can respond positively when someone’s being unkind or dishonest, including telling an adult if someone’s making you feel uncomfortable.
4. Use an online service to learn a new skill and show others what you’ve learnt."
Digital Citizen  - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Create a list of rights that you think you should have as a young person when online.
2. For a week, keep track of how much time you spend online and what you’re doing.
3. Show that you can spot the difference between facts and opinions posted online.
4. Investigate how people from different backgrounds interact online.
5. In a team, learn about a topic you care about and share with others what you’ve learnt."
Digital Citizen  - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. In a creative way of your choice, map out what digital actions other people take which makes information about you public.
2. Create something that helps other young people to know what they should do if they’re made to feel uncomfortable online, and where they can find support.
3. Investigate if the people you interact with most online are similar to you, or different to you (ie what are their ages, genders, ethnicities, hobbies etc?).
4. Use several online services to research a personal opportunity that excites you but you know little about (such as a new hobby, studying at college or university, or a specific career).
5. In a team, use a digital collaboration tool of your choice to achieve, something that benefits your Scout Group, something that benefits a local charity, or something that promotes young people’s voices to local decision makers."
Digital Citizen  - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Show that you understand your rights regarding online information
2. Take part in a debate on a topic that you think there may be lots of misinformation about online.
3. Create a digital version of the Scout Law which shows how each law can be followed when online.
4. Complete an online training course of your choice and share some of what you learned with other young people.
5. In a team that includes young people from other parts of the country or world, use a digital collaboration tool of your choice to achieve: Something that benefits Scouts, something that benefits a charity or cause you all care about, or something that promotes young people’s voices within national decision makers."
Digital Maker  - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 3 requirements,"Complete ALL of the following:
1. Show that you know what a computer is and understand that there are lots of uses for digital technology in everyday life.
2. Create a graphic for a computer game, app, or website.
3. Write clear instructions for a computer or person to follow to complete a task."
Digital Maker  - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 3 requirements,"Complete ALL of the following:
1. Create a piece of interactive or animated digital art using software.
2. Create a simple computer program to help with a scouting activity, and try it out.
3. Make a simple digital creation that uses code to interact with the wider world through inputs (such as buttons or typing on a keyboard) and outputs (such as a computer screen, sound, or lights)."
Digital Maker  - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. n a coding language of your choice, create a basic program to meet a need of Scouting or your section.
2. Use a programmable device (such as Arduino, Raspberry Pi, or micro:bit) with electronic components, code, and appropriate materials to create an electronic gadget and use it in a Scouting activity.
3. Design and create digital graphics for use as part of one of the above.
4. Show and present your digital making project, explaining the challenges that you encountered while creating it and how you addressed them."
Digital Maker  - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 2 requirements,"Complete ALL of the following:
1. Using a combination of programming, digital art, digital devices, electronic components, and other appropriate materials, create something that could serve a purpose in a Scouting activity.
2. Attend a digital making event and show your work, or help somebody else in your section or another section to work towards a Digital Maker Staged Activity badge."
Digital Maker  - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 2 requirements,"Complete ALL of the following:
1. Identify a real-life local or global problem and design, build, test, and improve a solution by combining your digital making skills and selecting appropriate software tools, digital devices, components, and materials.
2. Create and share a resource that would allow someone else to replicate your project with minimal previous knowledge."
Emergency Aid - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Explain the importance of getting help
2. Explain what to say when you call 999
3. Explain helping someone who is unconscious
4. Explain helping someone who is bleeding
5. Explain reassuring someone at the scene of an emergency."
Emergency Aid - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 7 requirements,"Complete ALL of the following:
1. Explain the importance of getting help
2. Explain what to say when you call 999
3. Explain reassuring someone at the scene of an emergency.
4. Explain is unconscious
5. Explain is bleeding
6. Explain has a burn
7. Explain is having an asthma attack."
Emergency Aid - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 9 requirements,"Complete ALL of the following:
1. Explain to your leader or another adult about how to call 999.
2. Explain is unconscious
3. Explain is unconscious and not breathing
4. Explain is bleeding
5. Explain has heat exhaustion
6. Explain has hypothermia
7. Explain is choking
8. Explain has a burn
9. Explain is having an asthma attack"
Emergency Aid - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 15 requirements,"Complete ALL of the following:
1. Explain to your leader or another adult about how to call 999.
2. Explain is unconscious
3. Explain is unconscious and not breathing
4. Explain is bleeding
5. Explain has heat exhaustion
6. Explain has hypothermia
7. Explain is choking
8. Explain has a burn
9. Explain is having an asthma attack
10. Explain is having a heart attack
11. Explain has a head injury
12. Explain has a suspected spinal injury
13. Explain has a broken bone
14. Explain has a sprain or strain
15. Explain has meningitis"
Emergency Aid - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 16 requirements,"Complete ALL of the following:
1. Take part in formal training
2. Explain to your leader or another adult about how to call 999.
3. Explain is unconscious
4. Explain is unconscious and not breathing
5. Explain is bleeding
6. Explain has heat exhaustion
7. Explain has hypothermia
8. Explain is choking
9. Explain has a burn
10. Explain is having an asthma attack
11. Explain is having a heart attack
12. Explain has a head injury
13. Explain has a suspected spinal injury
14. Explain has a broken bone
15. Explain has a sprain or strain
16. Explain has meningitis"
Hikes Away - 1,Staged Activity Badges,Staged Activity,,Complete 1 hike,Complete 1 hike to earn this badge.
Hikes Away - 10,Staged Activity Badges,Staged Activity,,Complete 10 hikes,Complete 10 hikes to earn this badge.
Hikes Away - 15,Staged Activity Badges,Staged Activity,,Complete 15 hikes,Complete 15 hikes to earn this badge.
Hikes Away - 2,Staged Activity Badges,Staged Activity,,Complete 2 hikes,Complete 2 hikes to earn this badge.
Hikes Away - 20,Staged Activity Badges,Staged Activity,,Complete 20 hikes,Complete 20 hikes to earn this badge.
Hikes Away - 35,Staged Activity Badges,Staged Activity,,Complete 35 hikes,Complete 35 hikes to earn this badge.
Hikes Away - 5,Staged Activity Badges,Staged Activity,,Complete 5 hikes,Complete 5 hikes to earn this badge.
Hikes Away - 50,Staged Activity Badges,Staged Activity,,Complete 50 hikes,Complete 50 hikes to earn this badge.
Musician - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. Skill
2. Performance
3. Knowledge
4. Interest"
Musician - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. Skill
2. Performance
3. Knowledge
4. Interest"
Musician - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. Skill
2. Performance
3. Knowledge
4. Interest"
Musician - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. Skill
2. Performance
3. Knowledge
4. Interest"
Musician - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 4 requirements,"Complete ALL of the following:
1. Skill
2. Performance
3. Knowledge
4. Interest"
Nautical Skills - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 3 requirements,"Complete ALL of the following:
1. Take part in a water activity taster session.
2. Correctly identify the different equipment used for the activity you chose.
3. Gain an understanding of the safety equipment used."
Nautical Skills - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 6 requirements,"Complete ALL of the following:
1. Take part in a water activity taster session for at least one hour.
2. Show that you understand what to do in the event of a capsize or man overboard situation in your chosen activity.
3. Demonstrate that you can tie either a figure of eight or a reef knot. Describe how you use them in water activities.
4. Name the basic equipment you used during your chosen activity.
5. List some clothing that is not suitable for your chosen activity, and explain the reasons why.
6. Show that you know the safety equipment you used and why it’s needed."
Nautical Skills - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 8 requirements,"Complete ALL of the following:
1. Take part in at least two one-hour taster sessions in two different water based activities.
2. Show that you know how to act safely in your chosen activity if you are involved in a capsize or man overboard situation.
3. Show how to check water depth using a method appropriate to your activity so that you don’t ground or beach.
4. Show how to tie a clove hitch, a bowline knot, and a round turn and two half-hitches.
5. Name the parts of one type of watercraft.
6. Demonstrate and explain what clothing is suitable for your chosen activity.
7. Explain the basic safety rules that apply to your chosen activity.
8. Explain the difference between a buoyancy aid and a life jacket, when each should be used and how they function."
Nautical Skills - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 9 requirements,"Complete ALL of the following:
1. Develop your skills in two water based activities.
2. Take part in a capsize and recovery drill for the two watercraft you have chosen.
3. Use a throw bag or line to reach a person six metres away in the water.
4. Show you know how to apply the steering rules to your chosen watercraft and recognise the main channel markers.
5. Use a knot (either a round turn and two half hitches or a bowline) or a cleat correctly to moor a boat with a painter or mooring line.
6. Complete one: Pipe the ‘still’ and ‘carry on’ on a Bosun’s call. Make a sailmaker’s whipping and one other type of whipping and safely heat-seal the end of a rope. Describe the correct use of these whippings. or Make an eye splice or a back splice and safely heat-seal the end  of a rope. Describe the correct use of these splices.
7. Name the parts of your chosen watercraft.
8. Take part in a challenging three-hour expedition or exercise afloat.
9. Take part in a competition or crew-based activity in your chosen watercraft."
Nautical Skills - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 11 requirements,"Complete ALL of the following:
1. Develop your skills in one water based activity to a level where you can operate the watercraft safely.
2. Show how you would use your watercraft to recover others from the water by taking part in a simple rescue exercise.
3. Demonstrate knowledge of pilotage, navigation lights, sound signals, tides, currents and eddies, depending on what’s relevant to your local waterways.
4. Demonstrate that you can tie a figure-of-eight knot, clove hitch, and a round turn and two half-hitches.
5. Explain the different types of ropes used in water activities, their advantages and disadvantages and how to care for them.
6. Complete one of these: Make a rope fender or other piece of decorative rope work, such as a lanyard or a decorative knot or demonstrate three calls made on a Bosun’s pipe, other than ‘still’ and ‘carry on’ or hoist the colours for a Sea Scout ceremonial or nautical themed ceremony.
7. Plan and take part in a one-day expedition or exercise afloat with others.
8. Learn how different boats communicate with each other in your location.
9. Take on the helm or cox role in a watercraft or help prepare a team for a competition.
10. Learn how to get local weather forecasts, understand their importance and be able to recognise signs of changing weather.
11. Learn how to safeguard against the effects of cold, and how to recognise and treat hypothermia."
Nautical Skills - Stage 6,Staged Activity Badges,Staged Activity,,Complete ALL 6 requirements,"Complete ALL of the following:
1. Develop your skills in one water based activity to a level where you can operate the watercraft safely.
2. Learn about flares, distress signals and marine VHF radio, and when it is appropriate to use them.
3. Learn about and explain the access and mooring issues in your chosen activity.
4. Learn about and explain the ‘nautical rules of the road’.
5. Show an understanding of the maintenance your watercraft needs.
6. Plan and take part in an overnight expedition by water with others."
Navigator - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 6 requirements,"Complete ALL of the following:
1. Locate yourself on a simple map.
2. Identify a number of features or locations on that map.
3. Learn the four cardinal points of a compass.
4. Draw a simple map of where you live, your meeting place or another area local to you.
5. Use a map during an outdoor activity.
6. Show you understand how to dress appropriately and what equipment you and the adults will need on the activity."
Navigator - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 7 requirements,"Complete ALL of the following:
1. Learn how to read a four-figure grid reference.
2. Understand how to use the key of a map.
3. Use a map during an outdoor activity.
4. Draw a simple map to direct someone from your meeting place to a local point of interest.
5. With other Scouts, go for a walk with a leader around the local area.
6. Learn the eight points of a compass and use them in an activity.
7. Show you know how to dress appropriately for the activities involved in this badge and what equipment you and the adults need on the activities."
Navigator - Stage 3,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Learn how to read a six figure grid reference.
2. Understand contour lines on an Ordnance Survey map.
3. Using 1:50000 and 1:25000 scale Ordnance Survey maps show that you understand the meaning of scale.
4. Follow and walk a route of at least 5km, using a map to navigate for at least part of the journey.
5. Show you know how to dress appropriately and what kit you and your group will need."
Navigator - Stage 4,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Show you know how to: Convert grid bearings to magnetic bearings and vice versa. Use back bearings to check the route. Estimate your current position using a compass. Walk on a bearing. This should include ‘deviating from course’ (the four right angles technique to bypass an obstacle also known as 'boxing'). Read a six figure grid reference.
2. Using 1:50000 and 1:25000 scale Ordnance Survey maps: Interpret contour lines in terms of shape and steepness of terrain. Learn what the topographical features mean, including: Valley, Ridge, Spur, Col. Show how to set a map, with and without a compass. Learn how to use and give six-figure grid references. Demonstrate the use of a roamer to improve accuracy.
3. Walk two compass routes of at least 5 kilometres each.
4. Show you know how to dress appropriately for the walk and what kit you and your group need.
5. Choose the most appropriate type of map for the journey you are taking."
Navigator - Stage 5,Staged Activity Badges,Staged Activity,,Complete ALL 7 requirements,"Complete ALL of the following:
1. Using a 1:25000 scale Ordnance Survey map and compass, navigate along a course of at least six ‘legs’.
2. Using only a compass and pacing, successfully navigate a course of at least four ‘legs’.
3. Using only a map, successfully navigate a course of at least four ‘legs’.
4. Make two sketch maps – one of an urban and one of a rural setting – that would enable a stranger to travel successfully between two points.
5. Complete at least three different orienteering courses in a reasonable time.
6. Complete a comprehensive route plan for a 20km hill walking route, set by an appropriate adult.
7. Show you know what the most appropriate clothing and equipment is for your journey."
Nights Away - 1,Staged Activity Badges,Staged Activity,,Complete 1 night away,Complete 1 night away to earn this badge.
Nights Away - 10,Staged Activity Badges,Staged Activity,,Complete 10 nights away,Complete 10 nights away to earn this badge.
Nights Away - 100,Staged Activity Badges,Staged Activity,,Complete 100 nights away,Complete 100 nights away to earn this badge.
Nights Away - 125,Staged Activity Badges,Staged Activity,,Complete 125 nights away,Complete 125 nights away to earn this badge.
Nights Away - 15,Staged Activity Badges,Staged Activity,,Complete 15 nights away,Complete 15 nights away to earn this badge.
Nights Away - 150,Staged Activity Badges,Staged Activity,,Complete 150 nights away,Complete 150 nights away to earn this badge.
Nights Away - 175,Staged Activity Badges,Staged Activity,,Complete 175 nights away,Complete 175 nights away to earn this badge.
Nights Away - 2,Staged Activity Badges,Staged Activity,,Complete 2 nights away,Complete 2 nights away to earn this badge.
Nights Away - 20,Staged Activity Badges,Staged Activity,,Complete 20 nights away,Complete 20 nights away to earn this badge.
Nights Away - 200,Staged Activity Badges,Staged Activity,,Complete 200 nights away,Complete 200 nights away to earn this badge.
Nights Away - 3,Staged Activity Badges,Staged Activity,,Complete 3 nights away,Complete 3 nights away to earn this badge.
Nights Away - 35,Staged Activity Badges,Staged Activity,,Complete 35 nights away,Complete 35 nights away to earn this badge.
Nights Away - 4,Staged Activity Badges,Staged Activity,,Complete 4 nights away,Complete 4 nights away to earn this badge.
Nights Away - 5,Staged Activity Badges,Staged Activity,,Complete 5 nights away,Complete 5 nights away to earn this badge.
Nights Away - 50,Staged Activity Badges,Staged Activity,,Complete 50 nights away,Complete 50 nights away to earn this badge.
Nights Away - 75,Staged Activity Badges,Staged Activity,,Complete 75 nights away,Complete 75 nights away to earn this badge.
Paddle Sports - Stage 1,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Identify different types of paddle craft.
2. Name three places you could safely go canoeing or kayaking.
3. Take part in a warm-up activity to prepare you for canoeing or kayaking.
4. Dress appropriately for your chosen activity. Show you know the importance of buoyancy aids and how to put one on correctly.
5. Take part in a taster session

Option 2:
1. Gain the British Canoeing Paddle Start Award."
Paddle Sports - Stage 2,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Lift, carry and launch a boat.
2. Paddle forward in a straight line.
3. Show you can steer around a course.
4. Show you can stop the boat safely.
5. Show you can exit the boat onto the shore safely.
6. Capsize, swim to the shore and empty the boat of water.

Option 2:
1. Gain the British Canoeing Paddle Discover Award."
Paddle Sports - Stage 3,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. With help, show more than one safe method for lifting and carrying your vessel.
2. Demonstrate two different ways of safely launching your vessel.
3. Show you can get in and out/on or off of your vessel without help.
4. Show you can steer around a figure of eight course.
5. Paddle forwards and backwards in a straight line, keeping good posture.
6. Show you can stop the vessel safely when it’s moving back and forth.
7. Capsize, swim to the shore and empty the boat of water if necessary.
8. Assist someone else back into their vessel following a capsize.

Option 2:
1. Gain the British Canoeing Paddle Explore Award."
Paddle Sports - Stage 4,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Choose two of the disciplines and paddle your vessel for at least 200m in each: Crew: Choose from K2 (two-man kayak), K4 (four-man kayak), C2 (two-man canoe), or OC2 (two-man canoe with outrigger), Flat water, White water, Touring, Short boat, Ergo
2. Take part in at least two of the following activities that you have not tried before: Freestyle, Marathon, Polo, Slalom, Sprint, Surf, Time trial, Wild water

Option 2:
1. Gain two of the following British Canoeing Personal Performance Awards: Surf Kayak Award, Sea Kayak Award, Canoe Award, Flat Water Freestyle Award ,Polo Explore Award, Racing Explore Award, Flat Water Raft Racing Award ,Slalom Explore Award, SUP Sheltered Water Award, Touring Award, White Water Award ,Wild Water Racing Explore Award"
Sailing - Stage 1,Staged Activity Badges,Staged Activity,,Choose 1 of 2 options,"Choose 1 of the following options:

Option 1:
1. Identify different types of sailing crafts.
2. Name three places you could safely go sailing.
3. Take part in a warm-up activity to prepare you for a sailing activity.
4. Dress appropriately for a sailing activity, showing you know the importance of buoyancy aids and how to put one on correctly.
5. Take part in a taster session

Option 2:
1. Complete the RYA Youth Sailing Scheme Stage 1."
